imdb_id,title,language,country,adult,genres,budget,revenue,release_date,runtime,popularity,avg_rating,people_rated
tt14539740,Godzilla x Kong: The New Empire,en,['US'],False,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",150000000,522503756,2024-03-27,115,1818.259,6.513,915
tt26785742,Ape vs. Mecha Ape,en,['US'],False,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",0,0,2023-03-24,80,1639.584,5.872,78
tt15239678,Dune: Part Two,en,['US'],False,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",190000000,704300257,2024-02-27,167,1390.639,8.235,3599
tt16253418,No Way Up,en,['GB'],False,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",0,0,2024-01-18,90,1245.817,6.329,559
tt21692408,Kung Fu Panda 4,en,['US'],False,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",85000000,503540090,2024-03-02,94,1230.013,7.1,1476
tt23137904,Rebel Moon - Part Two: The Scargiver,en,['US'],False,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",83000000,0,2024-04-19,123,1187.439,6.117,635
tt23137390,Immaculate,en,['US'],False,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",9000000,21956543,2024-03-20,89,892.57,6.3,367
tt13899926,578: Magnum,vi,['VN'],False,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",0,0,2022-05-20,108,843.881,5.05,20
tt12672620,The Three Musketeers: Milady,fr,['FR'],False,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",39000000,20888270,2023-12-13,121,796.029,6.5,372
tt5779228,The Garfield Movie,en,"['US', 'GB']",False,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",0,0,2024-04-30,101,757.742,7.265,17
tt23289160,Godzilla Minus One,ja,['JP'],False,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",15000000,115857413,2023-11-03,125,726.877,7.9,639
tt11389872,Kingdom of the Planet of the Apes,en,['US'],False,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",0,0,2024-05-08,145,686.196,6.636,11
